text,start,end
ขออนุญาตทวนให้อยู่อีกครั้งนะคะ,102.762,105.53
ร่าง แรก ที่ หนึ่ง สอง สาม,105.77,108.698
หมู่บ้านเบญจพรรณ,108.842,110.81
ถนนเดินคลอง,110.762,112.506
ตำบลเดินคอ,112.426,114.074
ออฟเวอร์สุเทพ จังหวัดเชียงใหม่,114.058,117.21
รหัส ดา ศิ นี ห้า ศูนย์ ศูนย์ ศูนย์ ,117.322,121.027
ศูนย์ ถูกต้อง นะคะ ขอบคุณมากค่ะ,121.027,124.058
ทั้งนี้ อานงขอแจ้งรายละเอียดก่อนนะคะ,124.202,127.994
อัตราเข้าบริการตามแพ็คเกจ,128.17,130.81
จะเริ่มนับเวลาโดยอัตโนมัติทันที,130.73,134.106
ที่ลูกค้าได้รับข้อความยืนยันการซื้อแพ็กเกจโดย,134.154,137.922
คุณลูกค้าต้องทำการลงทะเบียนด้วยแบบประชาชน,137.922,141.69
หรือ หนังสือเดินทาง,141.77,143.578
มากกว่าใช้บริการ,143.562,145.306
และจะขึ้นสุดตามระยะเวลา,145.322,147.906
ของแพ็กเกจที่ระบุในเอสเอ็มเอส,147.906,150.77800000000002
พยัญญาณการรับผิดเท่านั้น,150.762,153.306
หรือ เกิน กว่า ดาต้า ลม ไม่ ใช้ ครก,153.386,156.314
แต่ เหน็ด,156.394,157.146
จะเริ่ม ณ วัน ใช้งาน เมื่อมี,157.098,159.138
การ เชื่อมต่อ เน็ต ที่จับ ประเทศ,159.138,161.178
ครั้งแรก,161.13,162.17
โดยระยะเวลาของแฟลตเกรด,162.314,164.506
นับแต่ครบ 24 ชั่วโมงค่ะอันนี้จะ,164.458,167.73
ไม่รวมในแพ็คเกจนะคะคุณลูกค้า,167.73,171.00199999999998
หาก คุณ ลูกค้า ใช้ เป็น การ โทร ออก รับ สาย,171.018,174.81
ระบบจะคิดค่าบริการตามอัตราค่าบริการ,174.826,178.16899999999998
โทรศัพท์ข้ามแดนระหว่างประเทศปกติ,178.16899999999998,180.95399999999998
ตามอัตราของแต่ละประเทศ,181.226,183.354
และเครือข่ายที่,183.498,185.738
ใช้งานค่ะ ใช่ค่ะ,185.738,188.538
ลูกค้าไปกับเพื่อน แนะนำให้โทร,188.778,191.042
ผ่านแอปพลิเคชันดีกว่านะคะ,191.042,193.306
ไม่มีค่าใช้จ่ายเพิ่มเติม,193.578,195.601
ด้วยค่ะสามารถใช้ได้อยู่ค่ะ,195.601,197.914
แต่ความเร็วเนี่ยจะลดลงนะคะ,197.994,200.794
โดยสามารถเล่นเน็ตได้ต่อเนื่อง,200.746,203.85500000000002
ความเร็วสูงสุด 128 GB จนกว่า,203.85500000000002,206.96400000000003
จะครบระยะเวลาใช้งาน,206.96400000000003,210.07300000000004
ตาม แพ็คเกจ ค่ะ ได้ ค่ะ สามารถ ตรวจสอบ ได้,210.25,214.074
ปริมาณการใช้งาน Data Roaming ได้,214.154,217.562
โดย กด ดอก ด้าน หนึ่ง หนึ่ง หก,217.546,220.538
บอกการ,220.458,221.722
หนึ่ง สี่ เหลี่ยม ทัวร์ ออก ไม่ มี ค่า ใช้ จ่าย ค่ะ,221.77,225.167
 ทรู มุก เอส ขอ ขอบคุณ ทุร อรุณ ที่,225.167,228.564
 แชร์ ด้วย กัน กับ ทรู มุก เอส ครั้งนี้ นะคะ,228.564,231.96099999999998
ก่อนวางสายรบกวนให้คะแนนกับ,232.17,235.285
การบริการครั้งนี้ด้วยค่ะ ขอบคุณค่ะ,235.285,238.746
